Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,TD,Scoring_2PM,Scoring_Pts
63,2011,9,2011-11-14,27-347,GNB,,MIN,W 45-7,*,23,30,76.67%,250,4,0,140.3,8.33,11.00,6,21,3.50,0,0,0,,0,0,,0
64,2011,10,2011-11-20,27-353,GNB,,TAM,W 35-26,*,23,34,67.65%,299,3,1,112.3,8.79,9.24,5,28,5.60,0,0,0,,0,0,,0
65,2011,11,2011-11-24,27-357,GNB,@,DET,W 27-15,*,22,33,66.67%,307,2,0,116.6,9.30,10.52,1,-1,-1.00,0,0,0,,0,0,,0
66,2011,12,2011-12-04,28-002,GNB,@,NYG,W 38-35,*,28,46,60.87%,369,4,1,106.2,8.02,8.78,4,32,8.00,0,0,0,,0,0,,0
67,2011,13,2011-12-11,28-009,GNB,,OAK,W 46-16,*,17,30,56.67%,281,2,1,96.7,9.37,9.20,0,0,,0,0,0,,0,0,,0
68,2011,14,2011-12-18,28-016,GNB,@,KAN,L 14-19,*,17,35,48.57%,235,1,0,80.1,6.71,7.29,3,32,10.67,1,0,0,,0,1,,6
69,2011,15,2011-12-25,28-023,GNB,,CHI,W 35-21,*,21,29,72.41%,283,5,0,142.7,9.76,13.21,4,18,4.50,0,0,0,,0,0,,0
70,2012,1,2012-09-09,28-282,GNB,,SFO,L 22-30,*,30,44,68.18%,303,2,1,93.3,6.89,6.77,5,27,5.40,0,0,0,,0,0,,0
71,2012,2,2012-09-13,28-286,GNB,,CHI,W 23-10,*,22,32,68.75%,219,1,1,85.3,6.84,6.06,3,-6,-2.00,0,0,0,,0,0,,0
72,2012,3,2012-09-24,28-297,GNB,@,SEA,L 12-14,*,26,39,66.67%,223,0,0,81.5,5.72,5.72,2,17,8.50,0,0,0,,0,0,,0
73,2012,4,2012-09-30,28-303,GNB,,NOR,W 28-27,*,31,41,75.61%,319,4,1,119.9,7.78,8.63,5,13,2.60,0,0,0,,0,0,,0
74,2012,5,2012-10-07,28-310,GNB,@,IND,L 27-30,*,20,32,62.50%,235,3,1,103.0,7.34,7.81,5,57,11.40,0,0,0,,0,0,,0
75,2012,6,2012-10-14,28-317,GNB,@,HOU,W 42-24,*,24,37,64.86%,338,6,0,133.8,9.14,12.38,2,17,8.50,0,0,0,,0,0,,0
76,2012,7,2012-10-21,28-324,GNB,@,STL,W 30-20,*,30,37,81.08%,342,3,0,132.2,9.24,10.86,2,0,0.00,0,0,0,,0,0,,0
77,2012,8,2012-10-28,28-331,GNB,,JAX,W 24-15,*,22,35,62.86%,186,2,0,95.7,5.31,6.46,3,4,1.33,0,0,0,,0,0,,0
78,2012,9,2012-11-04,28-338,GNB,,ARI,W 31-17,*,14,30,46.67%,218,4,1,96.9,7.27,8.43,8,33,4.13,0,0,0,,0,0,,0
79,2012,10,2012-11-18,28-352,GNB,@,DET,W 24-20,*,19,27,70.37%,236,2,1,106.4,8.74,8.56,1,3,3.00,0,0,0,,0,0,,0
80,2012,11,2012-11-25,28-359,GNB,@,NYG,L 10-38,*,14,25,56.00%,219,1,1,81.9,8.76,7.76,3,22,7.33,0,0,0,,0,0,,0
